날짜,종가
2021-12-31,1187.96 
2021-12-30,1189.36 
2021-12-29,1184.70 
2021-12-28,1188.09 
2021-12-27,1185.61 
2021-12-24,1185.99 
2021-12-23,1185.55 
2021-12-22,1190.21 
2021-12-21,1190.67 
2021-12-20,1189.53 
2021-12-17,1187.70 
2021-12-16,1186.29 
2021-12-15,1184.57 
2021-12-14,1185.19 
2021-12-13,1184.91 
2021-12-10,1180.86 
2021-12-09,1178.15 
2021-12-08,1175.19 
2021-12-07,1176.73 
2021-12-06,1180.54 
2021-12-03,1180.00 
2021-12-02,1176.74 
2021-12-01,1176.93 
2021-11-30,1182.71 
2021-11-29,1190.69 
2021-11-26,1194.43 
2021-11-25,1190.16 
2021-11-24,1188.77 
2021-11-23,1189.08 
2021-11-22,1190.08 
2021-11-19,1187.10 
2021-11-18,1182.37 
2021-11-17,1180.46 
2021-11-16,1183.85 
2021-11-15,1183.42 
2021-11-12,1179.20 
2021-11-11,1182.39 
2021-11-10,1185.04 
2021-11-09,1178.40 
2021-11-08,1180.84 
2021-11-05,1181.05 
2021-11-04,1185.75 
2021-11-03,1178.78 
2021-11-02,1178.48 
2021-11-01,1177.45 
2021-10-29,1174.47 
2021-10-28,1168.44 
2021-10-27,1172.05 
2021-10-26,1167.95 
2021-10-25,1168.02 
2021-10-22,1177.48 
2021-10-21,1177.78 
2021-10-20,1175.63 
2021-10-19,1175.13 
2021-10-18,1185.47 
2021-10-15,1182.07 
2021-10-14,1181.69 
2021-10-13,1186.18 
2021-10-12,1197.29 
2021-10-11,1195.30 
2021-10-08,1196.79 
2021-10-07,1190.88 
2021-10-06,1190.21 
2021-10-05,1186.48 
2021-10-04,1184.12 
2021-10-01,1180.35 
2021-09-30,1184.23 
2021-09-29,1187.11 
2021-09-28,1187.16 
2021-09-27,1177.94 
2021-09-24,1179.68 
2021-09-23,1174.63 
2021-09-22,1181.75 
2021-09-21,1183.96 
2021-09-20,1185.67 
2021-09-17,1180.69 
2021-09-16,1175.19 
2021-09-15,1166.23 
2021-09-14,1172.23 
2021-09-13,1172.83 
2021-09-10,1170.23 
2021-09-09,1169.64 
2021-09-08,1166.54 
2021-09-07,1161.98 
2021-09-06,1157.04 
2021-09-03,1154.28 
2021-09-02,1158.05 
2021-09-01,1155.47 
2021-08-31,1158.73 
2021-08-30,1164.34 
